ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
1724,244,63.598,22.115,14.048,0.758,23.409,16.64,1.574,0.635,0.878,0
9421,320,81.6,32.42,12.57,0.6,32.25,13.27,2.58,0.39,0.88,0
6400,292,77.84,32.6,11.4,0.61,32.45,12.93,2.86,0.35,0.84,0
8041,284,69.01,20.65,17.51,0.75,23.35,19.0,1.18,0.85,0.89,0
3827,574,116.95,32.94,22.19,0.53,38.95,24.75,1.48,0.67,0.85,0
6864,210,67.01,26.56,10.07,0.59,27.86,11.63,2.64,0.38,0.85,0
9204,395,96.18,42.04,11.96,0.54,40.26,12.65,3.51,0.28,0.88,0
6953,368,97.05,40.67,11.52,0.49,40.82,13.67,3.53,0.28,0.8,0
6580,183,53.11,17.83,13.07,0.82,19.8,14.14,1.36,0.73,0.9,0
1909,295,79.598,33.795,11.114,0.585,33.106,12.098,3.041,0.329,0.866,0
899,108,43.456,11.923,11.533,0.719,14.765,12.0,1.034,0.967,0.847,0
864,110,39.456,12.508,11.197,0.888,13.601,11.628,1.117,0.895,0.898,0
8930,381,92.81,40.31,12.03,0.56,40.31,14.14,3.35,0.3,0.85,0
3284,168,53.113,16.589,12.894,0.748,17.72,14.91,1.287,0.777,0.87,0
3407,235,64.669,22.993,13.013,0.706,24.839,14.837,1.767,0.566,0.861,0
4821,314,102.71,35.55,11.25,0.37,42.01,15.56,3.16,0.32,0.7,0
9749,368,81.36,29.32,15.98,0.7,30.08,17.23,1.84,0.54,0.89,0
9293,249,62.08,19.86,15.96,0.81,22.09,16.99,1.24,0.8,0.87,0
6852,304,112.08,46.4,8.34,0.3,48.27,10.77,5.56,0.18,0.79,0
5720,441,108.95,45.64,12.3,0.47,46.4,14.77,3.71,0.27,0.8,0
773,162,51.113,18.724,11.016,0.779,19.849,12.522,1.7,0.588,0.883,0
2036,102,56.184,20.866,6.224,0.406,23.431,7.778,3.353,0.298,0.736,0
9634,388,89.64,37.8,13.07,0.61,37.22,15.24,2.89,0.35,0.85,0
5150,551,144.37,38.62,18.16,0.33,48.3,26.48,2.13,0.47,0.68,0
849,159,47.698,16.56,12.225,0.878,17.804,12.969,1.355,0.738,0.914,0
3033,434,146.167,36.542,15.122,0.255,44.385,20.477,2.417,0.414,0.66,0
2219,445,132.853,46.096,12.292,0.317,52.01,17.652,3.75,0.267,0.653,0
9517,382,90.33,28.7,16.95,0.59,31.06,19.99,1.69,0.59,0.81,0
2221,363,114.225,34.431,13.424,0.35,43.29,18.712,2.565,0.39,0.616,0
8232,257,66.77,23.17,14.13,0.72,25.3,15.0,1.64,0.61,0.88,0
2027,201,62.184,21.37,11.976,0.653,22.825,13.313,1.784,0.56,0.88,0
7707,240,62.77,20.9,14.62,0.77,21.84,15.0,1.43,0.7,0.88,0
8316,481,136.85,37.42,16.37,0.32,46.53,25.48,2.29,0.44,0.61,0
3621,313,86.53,37.95,10.5,0.53,36.06,11.44,3.61,0.28,0.86,0
