ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,germination
1385,101,37.456,13.721,9.372,0.905,14.213,9.899,1.464,0
9099,113,39.56,12.34,11.66,0.91,14.14,11.0,1.06,0
19,147,45.113,16.461,11.371,0.908,17.205,12.021,1.448,0
9828,110,39.21,13.07,10.72,0.9,14.42,11.0,1.22,0
9697,156,53.11,15.02,13.23,0.69,17.49,13.0,1.14,0
6260,261,80.91,28.72,11.57,0.5,30.48,16.1,2.48,0
2062,141,44.042,16.454,10.911,0.913,16.763,11.0,1.508,0
6631,216,59.94,20.97,13.12,0.76,23.32,15.0,1.6,0
9677,227,62.77,20.5,14.1,0.72,21.47,16.0,1.45,0
3598,211,60.77,21.97,12.23,0.72,22.8,14.02,1.8,0
7467,118,40.04,13.27,11.32,0.92,14.32,11.0,1.17,0
4256,152,46.28,14.85,13.03,0.89,16.12,14.0,1.14,0
8455,127,41.8,13.72,11.79,0.91,15.0,12.0,1.16,0
5646,152,44.87,16.28,11.89,0.95,17.2,12.73,1.37,0
8932,209,59.36,20.13,13.22,0.75,20.62,14.0,1.52,0
3865,221,62.43,23.36,12.05,0.71,24.6,12.9,1.94,0
9208,129,45.46,14.44,11.37,0.78,15.81,12.0,1.27,0
2236,111,39.456,15.457,9.143,0.896,16.279,9.899,1.691,0
8728,235,67.11,25.93,11.54,0.66,26.93,12.0,2.25,0
6966,101,37.46,12.12,10.61,0.9,13.34,10.73,1.14,0
943,183,51.113,18.936,12.305,0.88,19.647,13.0,1.539,0
556,274,77.012,27.799,12.55,0.581,29.547,14.077,2.215,0
906,169,48.042,17.074,12.603,0.92,18.028,13.0,1.355,0
8034,191,57.36,21.78,11.16,0.73,23.71,12.07,1.95,0
3713,161,52.28,19.03,10.77,0.74,20.62,11.54,1.77,0
615,178,53.456,19.661,11.527,0.783,19.925,11.0,1.706,0
1640,113,40.385,15.495,9.285,0.871,15.811,9.0,1.669,0
3569,131,44.53,15.47,10.78,0.83,16.49,11.33,1.44,0
3633,197,52.87,19.19,13.07,0.89,20.25,13.0,1.47,0
50,143,44.042,15.379,11.839,0.926,16.553,12.0,1.299,0
1177,125,42.627,16.313,9.756,0.864,16.492,10.0,1.672,0
8080,104,37.46,11.78,11.24,0.93,12.65,11.93,1.05,0
